Time,Year,RegionName,Cases,Population,Incidence
2009,2009,Iceland,0.0,319368.0,0.0
2009,2009,Ireland,78.0,4521322.0,1.72515914
2009,2009,Italy,638.0,59420592.0,1.07370185
2009,2009,Latvia,9.0,2162834.0,0.4161207
2009,2009,Lithuania,233.0,3183856.0,7.31817016
2009,2009,Luxembourg,1.0,493500.0,0.20263424
2009,2009,Malta,0.0,410926.0,0.0
2009,2009,Netherlands,6461.0,16485787.0,39.19133493
2009,2009,Norway,5544.0,4799252.0,115.51800155
2009,2009,Poland,2390.0,38135876.0,6.26706464
2009,2009,Portugal,64.0,10563014.0,0.60588767
2009,2009,Romania,10.0,20440290.0,0.04892298
2009,2009,Slovakia,288.0,5382401.0,5.35077189
2009,2009,Slovenia,441.0,2032362.0,21.69889025
2009,2009,Spain,473.0,46239273.0,1.02293995
2009,2009,Sweden,281.0,9256347.0,3.03575481
2009,2009,United Kingdom,852.0,62042343.0,1.37325568
2010,2010,Austria,435.0,8351643.0,5.20855596
2010,2010,Belgium,100.0,10839905.0,
2010,2010,Bulgaria,54.0,7421766.0,0.72758963
2010,2010,Croatia,45.0,4302847.0,1.04581919
2010,2010,Cyprus,0.0,819140.0,0.0
2010,2010,Czechia,661.0,10462088.0,6.31805046
2010,2010,Denmark,372.0,5534738.0,6.72118535
2010,2010,Estonia,1295.0,1333290.0,97.12815666
2010,2010,Finland,343.0,5351427.0,6.40950535
2010,2010,France,49.0,64658856.0,
2010,2010,Germany,,81802257.0,
2010,2010,Greece,64.0,11119289.0,0.57557637
2010,2010,Hungary,25.0,10014324.0,0.24964241
2010,2010,Iceland,0.0,317630.0,0.0
2010,2010,Ireland,114.0,4549428.0,2.50580952
2010,2010,Italy,463.0,59690316.0,0.77567021
2010,2010,Latvia,9.0,2120504.0,0.4244274
2010,2010,Lithuania,19.0,3141976.0,0.60471499
2010,2010,Luxembourg,0.0,502066.0,0.0
2010,2010,Malta,0.0,414027.0,0.0
2010,2010,Netherlands,3733.0,16574989.0,22.52188523
2010,2010,Norway,3560.0,4858199.0,73.27818395
2010,2010,Poland,1266.0,38022869.0,3.32957515
2010,2010,Portugal,14.0,10573479.0,0.13240675
2010,2010,Romania,29.0,20294683.0,0.14289456
2010,2010,Slovakia,1378.0,5390410.0,25.56391814
2010,2010,Slovenia,611.0,2046976.0,29.84890882
2010,2010,Spain,714.0,46486619.0,1.53592585
2010,2010,Sweden,263.0,9340682.0,2.81564022
2010,2010,United Kingdom,422.0,62510197.0,0.67508985
2011,2011,Austria,288.0,8375164.0,3.43873863
2011,2011,Belgium,268.0,11000638.0,
2011,2011,Bulgaria,46.0,7369431.0,0.62420015
2011,2011,Croatia,,4289857.0,
