Time,Year,Month,RegionName,Cases,Population,Incidence
1999-10,1999,10,Belgium,0.0,10213752.0,
1999-10,1999,10,Bulgaria,0.0,8230371.0,
1999-10,1999,10,Croatia,0.0,4527460.0,
1999-10,1999,10,Cyprus,0.0,682862.0,
1999-10,1999,10,Czechia,0.0,10289621.0,
1999-10,1999,10,Denmark,0.0,5313577.0,
1999-10,1999,10,Estonia,0.0,1379237.0,
1999-10,1999,10,Finland,0.0,5159646.0,
1999-10,1999,10,France,0.0,60158533.0,
1999-10,1999,10,Germany,0.0,82037011.0,
1999-10,1999,10,Greece,8.0,10747768.0,0.074434059
1999-10,1999,10,Hungary,0.0,10253416.0,
1999-10,1999,10,Iceland,0.0,275712.0,
1999-10,1999,10,Ireland,18.0,3732006.0,0.482314337
1999-10,1999,10,Italy,32.0,56909109.0,0.056230014
1999-10,1999,10,Latvia,0.0,2399248.0,
1999-10,1999,10,Liechtenstein,,32015.0,
1999-10,1999,10,Lithuania,0.0,3536401.0,
1999-10,1999,10,Luxembourg,0.0,427350.0,
1999-10,1999,10,Malta,0.0,386397.0,
1999-10,1999,10,Netherlands,665.0,15760225.0,4.219482907
1999-10,1999,10,Norway,1.0,4445329.0,0.022495522
1999-10,1999,10,Poland,0.0,38666983.0,
1999-10,1999,10,Portugal,0.0,10186634.0,
1999-10,1999,10,Romania,0.0,22488595.0,
1999-10,1999,10,Slovakia,0.0,5393382.0,
1999-10,1999,10,Slovenia,0.0,1978334.0,
1999-10,1999,10,Spain,0.0,40303568.0,
1999-10,1999,10,Sweden,0.0,8854322.0,
1999-10,1999,10,United Kingdom,2.0,58579685.0,0.003414152
1999-11,1999,11,Austria,1.0,7982461.0,0.012527464
1999-11,1999,11,Belgium,0.0,10213752.0,
1999-11,1999,11,Bulgaria,0.0,8230371.0,
1999-11,1999,11,Croatia,0.0,4527460.0,
1999-11,1999,11,Cyprus,0.0,682862.0,
1999-11,1999,11,Czechia,0.0,10289621.0,
1999-11,1999,11,Denmark,0.0,5313577.0,
1999-11,1999,11,Estonia,0.0,1379237.0,
1999-11,1999,11,Finland,0.0,5159646.0,
1999-11,1999,11,France,0.0,60158533.0,
1999-11,1999,11,Germany,0.0,82037011.0,
1999-11,1999,11,Greece,2.0,10747768.0,0.018608514
1999-11,1999,11,Hungary,0.0,10253416.0,
1999-11,1999,11,Iceland,0.0,275712.0,
1999-11,1999,11,Ireland,12.0,3732006.0,0.321542891
1999-11,1999,11,Italy,36.0,56909109.0,0.063258765
1999-11,1999,11,Latvia,0.0,2399248.0,
1999-11,1999,11,Liechtenstein,,32015.0,
1999-11,1999,11,Lithuania,0.0,3536401.0,
1999-11,1999,11,Luxembourg,0.0,427350.0,
1999-11,1999,11,Malta,0.0,386397.0,
1999-11,1999,11,Netherlands,1148.0,15760225.0,7.284159965
1999-11,1999,11,Norway,0.0,4445329.0,
1999-11,1999,11,Poland,0.0,38666983.0,
1999-11,1999,11,Portugal,0.0,10186634.0,
1999-11,1999,11,Romania,0.0,22488595.0,
1999-11,1999,11,Slovakia,0.0,5393382.0,
1999-11,1999,11,Slovenia,0.0,1978334.0,
1999-11,1999,11,Spain,0.0,40303568.0,
1999-11,1999,11,Sweden,0.0,8854322.0,
1999-11,1999,11,United Kingdom,8.0,58579685.0,0.013656611
1999-12,1999,12,Austria,0.0,7982461.0,
1999-12,1999,12,Belgium,0.0,10213752.0,
1999-12,1999,12,Bulgaria,0.0,8230371.0,
1999-12,1999,12,Croatia,0.0,4527460.0,
1999-12,1999,12,Cyprus,0.0,682862.0,
1999-12,1999,12,Czechia,0.0,10289621.0,
1999-12,1999,12,Denmark,0.0,5313577.0,
1999-12,1999,12,Estonia,0.0,1379237.0,
1999-12,1999,12,Finland,0.0,5159646.0,
1999-12,1999,12,France,0.0,60158533.0,
1999-12,1999,12,Germany,0.0,82037011.0,
1999-12,1999,12,Greece,0.0,10747768.0,
1999-12,1999,12,Hungary,0.0,10253416.0,
1999-12,1999,12,Iceland,0.0,275712.0,
1999-12,1999,12,Ireland,11.0,3732006.0,0.29474765
1999-12,1999,12,Italy,36.0,56909109.0,0.063258765
1999-12,1999,12,Latvia,0.0,2399248.0,
1999-12,1999,12,Liechtenstein,,32015.0,
1999-12,1999,12,Lithuania,0.0,3536401.0,
1999-12,1999,12,Luxembourg,0.0,427350.0,
1999-12,1999,12,Malta,0.0,386397.0,
1999-12,1999,12,Netherlands,603.0,15760225.0,3.826087508
1999-12,1999,12,Norway,1.0,4445329.0,0.022495522
1999-12,1999,12,Poland,0.0,38666983.0,
1999-12,1999,12,Portugal,0.0,10186634.0,
1999-12,1999,12,Romania,0.0,22488595.0,
1999-12,1999,12,Slovakia,0.0,5393382.0,
1999-12,1999,12,Slovenia,0.0,1978334.0,
1999-12,1999,12,Spain,0.0,40303568.0,
1999-12,1999,12,Sweden,15.0,8854322.0,0.169408792
1999-12,1999,12,United Kingdom,33.0,58579685.0,0.056333522
2000-01,2000,1,Austria,0.0,8002186.0,
2000-01,2000,1,Belgium,0.0,10239085.0,
2000-01,2000,1,Bulgaria,0.0,8190876.0,
2000-01,2000,1,Croatia,0.0,4497735.0,
2000-01,2000,1,Cyprus,0.0,690497.0,
2000-01,2000,1,Czechia,0.0,10278098.0,
2000-01,2000,1,Denmark,1.0,5330020.0,0.018761655
2000-01,2000,1,Estonia,0.0,1401250.0,
2000-01,2000,1,Finland,0.0,5171302.0,
2000-01,2000,1,France,0.0,60545022.0,
2000-01,2000,1,Germany,0.0,82163475.0,
2000-01,2000,1,Greece,0.0,10775627.0,
2000-01,2000,1,Hungary,0.0,10221644.0,
2000-01,2000,1,Iceland,0.0,279049.0,
2000-01,2000,1,Ireland,21.0,3777565.0,0.555913663
2000-01,2000,1,Italy,54.0,56923524.0,0.094864119
2000-01,2000,1,Latvia,0.0,2381715.0,
2000-01,2000,1,Liechtenstein,,32426.0,
2000-01,2000,1,Lithuania,0.0,3512074.0,
2000-01,2000,1,Luxembourg,0.0,433600.0,
2000-01,2000,1,Malta,0.0,388759.0,
2000-01,2000,1,Netherlands,203.0,15863950.0,1.279630861
2000-01,2000,1,Norway,0.0,4478497.0,
2000-01,2000,1,Poland,0.0,38263303.0,
2000-01,2000,1,Portugal,0.0,10249022.0,
2000-01,2000,1,Romania,0.0,22455485.0,
2000-01,2000,1,Slovakia,0.0,5398657.0,
2000-01,2000,1,Slovenia,0.0,1987755.0,
2000-01,2000,1,Spain,0.0,40470182.0,
2000-01,2000,1,Sweden,31.0,8861426.0,0.349830828
2000-01,2000,1,United Kingdom,10.0,58785246.0,0.017011071
2000-02,2000,2,Austria,0.0,8002186.0,
2000-02,2000,2,Belgium,0.0,10239085.0,
2000-02,2000,2,Bulgaria,0.0,8190876.0,
2000-02,2000,2,Croatia,0.0,4497735.0,
2000-02,2000,2,Cyprus,0.0,690497.0,
2000-02,2000,2,Czechia,0.0,10278098.0,
2000-02,2000,2,Denmark,0.0,5330020.0,
2000-02,2000,2,Estonia,0.0,1401250.0,
2000-02,2000,2,Finland,0.0,5171302.0,
2000-02,2000,2,France,0.0,60545022.0,
2000-02,2000,2,Germany,0.0,82163475.0,
2000-02,2000,2,Greece,0.0,10775627.0,
2000-02,2000,2,Hungary,0.0,10221644.0,
2000-02,2000,2,Iceland,0.0,279049.0,
2000-02,2000,2,Ireland,81.0,3777565.0,2.144238418
2000-02,2000,2,Italy,105.0,56923524.0,0.18445801
2000-02,2000,2,Latvia,0.0,2381715.0,
2000-02,2000,2,Liechtenstein,,32426.0,
2000-02,2000,2,Lithuania,0.0,3512074.0,
2000-02,2000,2,Luxembourg,0.0,433600.0,
2000-02,2000,2,Malta,0.0,388759.0,
2000-02,2000,2,Netherlands,57.0,15863950.0,0.359305217
2000-02,2000,2,Norway,0.0,4478497.0,
2000-02,2000,2,Poland,0.0,38263303.0,
2000-02,2000,2,Portugal,0.0,10249022.0,
2000-02,2000,2,Romania,0.0,22455485.0,
2000-02,2000,2,Slovakia,0.0,5398657.0,
2000-02,2000,2,Slovenia,0.0,1987755.0,
2000-02,2000,2,Spain,0.0,40470182.0,
2000-02,2000,2,Sweden,23.0,8861426.0,0.259551905
2000-02,2000,2,United Kingdom,34.0,58785246.0,0.057837641
2000-03,2000,3,Austria,0.0,8002186.0,
2000-03,2000,3,Belgium,0.0,10239085.0,
